,Tweet,Target,Stance,Opinion Towards,Sentiment
1256,mito eve model explicit prove ancestor narrow similarity matter degree #semst,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other
1257,kristen stewart hollywood disgustingly sexist #women #semst #cloudsofsilsmaria #culture #kristenstewart,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1258,hooks say continue even though hard cause pain people look #love #semst #bellhooks #whatawoman,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1259,male rape one report crime male rape survivor among served crime victim #semst,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1260,statistic show male victim rape likely straight gay #semst,Feminist Movement,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",other
1261,law misuse give scope man prove innocence even honest man trap slaughter #semst #maritalrape,Feminist Movement,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1262,school teach penis never mention clitoris #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1263,feminist stop whine internet step game guy baltimore riot cause get shit #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1264,worry feminist press good press order product soon #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
1265,sjws prove people perfectly capable act metaphysically give reality #semst #gamergate,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1266,gain new follower view get outraged #maritalrapedebate #semst #misogynist,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
1267,reason need feminism world equal stop try make case victimhood #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1268,feminist know fight ego maniac want minute fame #c4news #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1269,upload sexually provocative pic see someone attract look harassment right #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1270,one time say girl like call slut guy say speak everyone #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1271,man accuse rape immediately castrate question ask #semst #heforshe #rapeculture,Feminist Movement,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1272,even though know gender superior #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
1273,dear feminist expel man hater poison feminism admire #semst #gamergate #noty...,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1274,call sexual coercion rape #semst #rapeculture,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1275,free woman unfree even shackle different audre lorde #semst #feminist,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1276,wanna hear two funniest word english language right feminist fellowship geddit fall ship #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1277,pop culture still hate woman #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1278,young girl tell rape instead tell boy rape #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1279,united state one country give pay maternity leave #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1280,woman see soft weak emotional eye male politician #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1281,human create equally nature #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
1282,consider hate crime someone make threat woman #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1283,woman falsely accuse man rape care explote suffer real rape victim #semst #gamergate,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1284,olympic feminist man division would erradicate equality #semst #gamergate,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1285,woman see sex object see atm #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1286,ever need man #semst #yesallwomen,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1287,dateoffcampus part regular lineup #spankafeminist #feminazi #semst #fak... #mra,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1288,kwink thewtfmagazine gamer fatophobe ever notice morbidly obese character video game #not... #semst #gamergate,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1289,mind business cunt battery bob die #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1290,woman come money back guarantee work dumb bitch get money back #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1291,petition journalist stop use man mean demonstrate resilience mental toughness #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1292,frustrating awful voice get access wide audience voice hate #confederateflag #semst #race,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1293,pls last tweet obviously joke #luv #semst #rightsforall,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1294,even clifford virginia #stophidingit #semst,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1295,slut word make degrade woman degrade anyone body like #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1296,amazing show leicester tonight good comedy show ever see incredible #upgradeyourself #semst,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
1297,rather share road man pull nighter blew sober well rest woman #semst #equality,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1298,like rape one report crime unreported incident usually female rape male hey #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1299,gladly accept face least use use bill #semst #neversatisfied,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1300,wish people would understand true feminist want equality everyone even man girl #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
1301,confederate flag offend good stop make thing #politicallycorrect #semst,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1302,pleasant world disagree feminist fear life freedom #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1303,stop male animator want female animator #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1304,give woman right vote nevermind man vote give right #feministsareliars #feminists #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1305,viviennedenue code hack evil destroy time get back work kick ass #semst #femaleprotagonist #cybe... #gamedev,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1306,crime show make rape father instead victim #semst,Feminist Movement,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1307,man empathize picture daughter go thing #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1308,lady right radical feminist loud voice normal logical feminist outspoken #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1309,twitter get back kitchen #feminist #equality #feminazi #semst #powertowomen,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1310,everfetche wanna chat feminist feminazi moment hear side know #semst #feminist #feminazi,Feminist Movement,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",neg
1311,know woman stop wear age nothing woman wear whatever want matter old #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1312,dear feminist problem abortion many rape much fucking without condom #semst #gamergate,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1313,multiple abortion mean feminist use contraceptive demand #semst #gamergate,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1314,multiple abortion one mistake life expect learn welcome feminism #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1315,feminist honest want learn skill want work name #semst #gamergate,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1316,contemplate get fire feminist get fire #semst #gamergate,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1317,gender research help develop nursing research theoretical framework concept methodology #semst #research,Feminist Movement,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",pos
1318,ever see meritocracy myth push people skill try buddy buddy way top hmm #semst,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1319,hillary lead sander narrow long bernie accuse misogyny #semst #tcot,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1320,wtf single father #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1321,meritocracy oppressive incompetent believe sexist sexist one #semst #therealkind,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1322,get pay less male counterpart woman sport fact woman #matildas #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1323,hate girl turn bitch guy tell look good without make compliment #semst,Feminist Movement,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1324,friend enemy pizza delivery guy #blessed #semst #vegans,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
1325,anti people say zoe quinn defend domestic abuse #notyourshield #semst #womenagainstfeminis...,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1326,glad able raise kid time educate mothering decision family vilify #nonvaxxerhere #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1327,problem liberal tolerance extend agree #semst #tcot,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1328,feminist spread misandry always try two create gender conflict #feminismiscruelty #dontmancriminate #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1329,meaning peace absence opposition socialism #semst #gamergate,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1330,recenter world captain ship author life story #semst,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
1331,hold man hand leave alone street #equality #streetharassment #semst #catcalling,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1332,keep fight go justice community #blacklivesmatter #justiceformuslims #hispanicgirlsunited #semst #lgbtrights,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
1333,call history herstory #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1334,funny want fix problem straight people problem #semst #government #gay,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1335,mother laugh first grader mother throw bug scream run away #strongwomen #semst,Feminist Movement,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",neg
1336,say woman go equal outside home man equal agree #antifeminism #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1337,nah abi go get marry rich white guy go give half money divorce #semst,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1338,young man stop wear sister clothe makeup look ridiculous #semst #spankafeminist,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1339,let raise pay female make equal man get pay #semst #eaquality,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
1340,feminist want special right equal right feminist #semst #feministcruelty,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1341,nope adultery year ago year ago sorry fact fit narrative #semst #prochoice,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1342,psst get anymore equal joke #dontmancriminate #feminist #semst #spankafeminist,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1343,family court court inquisition #semst #feminazis,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1344,white woman pretend black lies aboit dad family instead go mental hospital #semst,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1345,day equality think girl pose set female equality back #gaymarriage #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1346,thank minded pursuer familial societal dystopia #progressive-minded #semst #democrats #liberals,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1347,strong independent black woman need daddy #girlpower #semst #lol,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
1348,think australia female female majority mp would legal #marriageequaility #auspol #semst,Feminist Movement,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1349,charlotte church interview pussy riot #glasto2015 #fuckyeahglasto #semst,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1350,congratulations america overcome battle let woman race treat equally #alllivesmatter #semst #equality.,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
1351,need feminism pretty #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1352,win try either try hard help win guy seriously #semst,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1353,need feminism walk three block without get cat call man ask get car #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1354,wow gay marriage legal lesbian marriage fuck fix #semst,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1355,feminism build hatred nothing equality humanitarian ground tmancriminate #semst #don'tmancriminate,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1356,pass judgement offer advice issue like hijab belong subaltern culture #semst,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1357,call people bad name turn feminist shoot foot #sexism #antisjw #feminists: #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1358,friendly reminder gender pay gap myth #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1359,ruth_blane _ anavgjoe _ ruth_blane ruth_blane ruth_blane ruth_blane reversedowry manojmane take #semst #feminazi #sc...,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1360,_ anavgjoe _ ruth_blane bansalsatnam ruth_blane reversedowry ruth_blane manojmane take #semst #feminazi #scrap498a...,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1361,look late indiegogo campaign come soon help turn young girl great leader #womensrights #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
1362,hat seriously make beijing breakthrough say thank enough #womensrights #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
1363,typical example #fakecases... #scrap498a #498a #semst #misandry,Feminist Movement,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",neg
1364,make woman strong woman already strong change way world perceive strength #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
1365,even love music still fan brilliant young woman #semst,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
1366,single big stimulus economy equal pay gloria steinem #semst #alaac15,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
1367,pop quiz great fear oppressor #semst #blacklivesmatter #humanrights,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1368,yeah need feminism like boyfriend chip food shop also pretty obvs #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
1369,buy dress completely zip fasten #semst,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other
1370,label womne omg sexism label man well man like #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1371,man want woman take name marriage male pride female pride matter #genderequality #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1372,think okay woman take mans name want #genderequality #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
1373,equality woman expect submit tradition marriage #genderequality #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1374,watch color code red show newly wed wife con family con bride #scrap498a #semst #colors,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1375,downvoting youtube video hateful sexist #gaming #videogame #gamergate #radicalbytes #semst #femfreq,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1376,tumblr make slightly transphobic misogynistic #semst #tumblr,Feminist Movement,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",neg
1377,fact ask someone block happy #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1378,need white privillage man come tell belief fashion unacceptable #feminist #furry #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1379,disgusted see sell dvds fifty shades grey chillingham road branch #semst,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1380,lol young male child #semst,Feminist Movement,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",other
1381,communist relate feel #karlmarx #semst #communist #faith,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other
1382,sooooo horrible perfectly fine see #semst #killallmen #spankafeminist,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1383,last week man make turn drive wrong way one way street tell body #streetharassment #semst #catcalling,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1384,brace onslaught anytime walk man street #streetharassment #equality #catcalling #sexism #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1385,sehri time seem turn let get dad wake #racepolitics #ableism #ramadan #semst,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1386,one gay one straight one male one female one friendship #friends #semst #equality,Feminist Movement,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",pos
1387,great accomplishment bad still suck black woman america #truthbomb #semst #racism #marriageequality,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1388,say friend make sex appeal must #semst,Feminist Movement,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",other
1389,need feminism broken idealogie need defend much function one #cryingalready #semst #deathnote,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1390,cutting mutilation daughter genital expression #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1391,viviennedenue bittergourd themarysue thank game go knock sock #gamersunite #semst #in... #femaleprotagonist,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
1392,son slut shame female nude jerk nude night right #semst #smh,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1393,hate feminism give reason #notallmen #feminist #semst #heforshe,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1394,wish power #men #milan #women #semst #ptifamily #knockknock #pak_army,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1395,sexist say woman deal bad joke go suffer come adv math #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1396,great see singer turn activist stage interview #glasto #glastonbury #charlottechurch #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
1397,stay silent rape get charge adultery expression #semst,Feminist Movement,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1398,fuck feminist sir tim hunt fire lie follow joke praise woman science #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1399,dear feminist supporter people like endless concession feminist prevent accountability #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1400,dear feminist evidence closeted hate refusal address man hate feminism #semst #gamergate,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1401,feminism fashionable form narcissism personal trauma personal retribution drive feminist #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1402,dear feminist give complete version feminism dictionary definition man hate #semst #gamergate,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1403,responsibility feminism admit ornamental intelligence average feminist #semst #onlyrights,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1404,strong feminist twitter measure much type without think first delete #semst #gamergate,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1405,good way spot religion see often get offend idea crticism feminism rank high #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1406,feminist honest know man right kind thought #semst #gamergate,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1407,ceo apologize feminist pressure award feminism sought intellectual immunity #semst #gamergate,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1408,penetrate vagina engulf penis #semst #insideamyschumer,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1409,old insecure female force hatred man young generation woman #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1410,right sex rape #semst,Feminist Movement,NONE,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1411,like feminism gender much ignorant toad #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1412,man front woman misogynistic pig #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1413,watch mad max fury road amazing everything woman watch film amazed #semst #madmaxfuryroad,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
1414,video game form art censorship would comparable practice fascist germany wwii #semst #gamergate,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1415,feminist heart angry right wish could scream hate inequality right top lung #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1416,femaskank gender study degree valuable degree #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1417,tweet make cast towie mate #semst,Feminist Movement,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",other
1418,wow beautiful even make free #girlpower #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
1419,someone create female festival celebrate woman surely brainer #history #semst #music #art,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1420,autocorrect switch smh dnt need independent #semst,Feminist Movement,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",neg
1421,gamergatenew capthaddock hilarious desending like mad harpy #spankafeminist #game... #feminists #semst #sjws,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1422,towie catchup totally agree ferne #towie #semst,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
1423,realize actually symbol #semst,Feminist Movement,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",neg
